web-scraper-order,web-scraper-start-url,companyName,industry,marketCap
"1700801043-4187","https://www.etmoney.com/stocks/list-of-stocks","Goyal Aluminiums Ltd.
                                            GOYALALUM","Trading & Distribution","₹128.46 Crs"
"1700801043-4188","https://www.etmoney.com/stocks/list-of-stocks","Grand Foundry Ltd.
                                            GFSTEELS","Iron & Steel","₹24.34 Crs"
"1700801043-4189","https://www.etmoney.com/stocks/list-of-stocks","Granules India Ltd.
                                            GRANULES","Pharmaceuticals","₹8967.64 Crs"
"1700801043-4190","https://www.etmoney.com/stocks/list-of-stocks","Graphite India Ltd.
                                            GRAPHITE","Electrodes - Graphites","₹9397.57 Crs"
"1700801043-4191","https://www.etmoney.com/stocks/list-of-stocks","Grasim Industries Ltd.
                                            GRASIM","Diversified","₹128858.43 Crs"
"1700801043-4192","https://www.etmoney.com/stocks/list-of-stocks","Grauer & Weil (India) Ltd.
                                            GRAUWEIL","Speciality Chemicals","₹2629.79 Crs"
"1700801043-4193","https://www.etmoney.com/stocks/list-of-stocks","Gravita India Ltd.
                                            GRAVITA","Non Ferrous Metals","₹7400.86 Crs"
"1700801043-4194","https://www.etmoney.com/stocks/list-of-stocks","Great Eastern Shipping Company Ltd.
                                            GESHIP","Shipping","₹11692.63 Crs"
"1700801043-4195","https://www.etmoney.com/stocks/list-of-stocks","Greaves Cotton Ltd.
                                            GREAVESCOT","Industrial Machinery, Equipment & Goods","₹3085.6 Crs"
"1700801043-4196","https://www.etmoney.com/stocks/list-of-stocks","Greenlam Industries Ltd.
                                            GREENLAM","Wood Products","₹7581.46 Crs"
"1700801043-4197","https://www.etmoney.com/stocks/list-of-stocks","Greenpanel Industries Ltd.
                                            GREENPANEL","Wood Products","₹4144.81 Crs"
"1700801043-4198","https://www.etmoney.com/stocks/list-of-stocks","Greenply Industries Ltd.
                                            GREENPLY","Wood Products","₹2535.65 Crs"
"1700801043-4199","https://www.etmoney.com/stocks/list-of-stocks","Grindwell Norton Ltd.
                                            GRINDWELL","Industrial Machinery, Equipment & Goods","₹23184.77 Crs"
"1700801043-4200","https://www.etmoney.com/stocks/list-of-stocks","Gufic BioSciences Ltd.
                                            GUFICBIO","Pharmaceuticals","₹3018.35 Crs"
"1700801043-4201","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Alkalies & Chemicals Ltd.
                                            GUJALKALI","Commodity Chemicals","₹5287.46 Crs"
"1700801043-4202","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Ambuja Exports Ltd.
                                            GAEL","Edible Oils & Solvent Extraction","₹8301.94 Crs"
"1700801043-4203","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Apollo Industries Ltd.
                                            GUJAPOLLO","Industrial Machinery, Equipment & Goods","₹261.96 Crs"
"1700801043-4204","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Fluorochemicals Ltd.
                                            FLUOROCHEM","Speciality Chemicals","₹30549.28 Crs"
"1700801043-4205","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Gas Ltd.
                                            GUJGASLTD","Gas Distribution","₹29463.1 Crs"
"1700801043-4206","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Industries Power Company Ltd.
                                            GIPCL","Power - Generation/distribution","₹2435.14 Crs"
"1700801043-4207","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Lease Financing Ltd.
                                            GLFL","Nbfc","₹8.14 Crs"
"1700801043-4208","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Mineral Development Corporation Ltd.
                                            GMDCLTD","Mining/minerals","₹13133.4 Crs"
"1700801043-4209","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Narmada Valley Fertilizers & Chemicals Ltd.
                                            GNFC","Agro Chemicals & Fertilizers","₹10972.57 Crs"
"1700801043-4210","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Pipavav Port Ltd.
                                            GPPL","Shipping","₹6526.44 Crs"
"1700801043-4211","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Raffia Industries Ltd.
                                            GUJRAFFIA","Packaging","₹17.29 Crs"
"1700801043-4212","https://www.etmoney.com/stocks/list-of-stocks","Gujarat Sidhee Cement Ltd.
                                            GSCLCEMENT","Cement","₹294.96 Crs"
"1700801043-4213","https://www.etmoney.com/stocks/list-of-stocks","Gujarat State Fertilizer & Chemicals Ltd.
                                            GSFC","Agro Chemicals & Fertilizers","₹7292.14 Crs"
"1700801043-4214","https://www.etmoney.com/stocks/list-of-stocks","Gujarat State Petronet Ltd.
                                            GSPL","Gas Distribution","₹15572.23 Crs"
"1700801043-4215","https://www.etmoney.com/stocks/list-of-stocks","Gulf Oil Lubricants India Ltd.
                                            GULFOILLUB","Lubricants","₹3111.21 Crs"
"1700801043-4216","https://www.etmoney.com/stocks/list-of-stocks","Gulshan Polyols Ltd.
                                            GULPOLY","Speciality Chemicals","₹1284.83 Crs"
"1700801043-4217","https://www.etmoney.com/stocks/list-of-stocks","HB Stockholdings Ltd.
                                            HBSL","Nbfc","₹58.53 Crs"
"1700801043-4218","https://www.etmoney.com/stocks/list-of-stocks","HBL Power Systems Ltd.
                                            HBLPOWER","Batteries","₹9369.19 Crs"
"1700801043-4219","https://www.etmoney.com/stocks/list-of-stocks","HCL Infosystems Ltd.
                                            HCL-INSYS","Technology Hardware","₹559.66 Crs"
"1700801043-4220","https://www.etmoney.com/stocks/list-of-stocks","HCL Technologies Ltd.
                                            HCLTECH","It Services & Consulting","₹360646.09 Crs"
"1700801043-4221","https://www.etmoney.com/stocks/list-of-stocks","HDFC Asset Management Company Ltd.
                                            HDFCAMC","Asset Management","₹60928.33 Crs"
"1700801043-4222","https://www.etmoney.com/stocks/list-of-stocks","HDFC Bank Ltd.
                                            HDFCBANK","Banks","₹1154403.89 Crs"
"1700801043-4223","https://www.etmoney.com/stocks/list-of-stocks","HDFC Life Insurance Company Ltd.
                                            HDFCLIFE","Life Insurance","₹142998.35 Crs"
"1700801043-4224","https://www.etmoney.com/stocks/list-of-stocks","HEC Infra Projects Ltd.
                                            HECPROJECT","Construction & Engineering","₹51.7 Crs"
"1700801043-4225","https://www.etmoney.com/stocks/list-of-stocks","HEG Ltd.
                                            HEG","Electrodes - Graphites","₹6109.67 Crs"
"1700801043-4226","https://www.etmoney.com/stocks/list-of-stocks","HFCL Ltd.
                                            HFCL","Telecomm Equipment & Infra Services","₹9572.78 Crs"
"1700801043-4227","https://www.etmoney.com/stocks/list-of-stocks","HG Infra Engineering Ltd.
                                            HGINFRA","Construction & Engineering","₹5676.4 Crs"
"1700801043-4228","https://www.etmoney.com/stocks/list-of-stocks","HIL Ltd.
                                            HIL","Cement","₹2060.17 Crs"
"1700801043-4229","https://www.etmoney.com/stocks/list-of-stocks","HLE Glascoat Ltd.
                                            HLEGLAS","Industrial Machinery, Equipment & Goods","₹3536.15 Crs"
"1700801043-4230","https://www.etmoney.com/stocks/list-of-stocks","HLV Ltd.
                                            HLVLTD","Hotels","₹1450.37 Crs"
"1700801043-4231","https://www.etmoney.com/stocks/list-of-stocks","HMA Agro Industries Ltd.
                                            HMAAGRO","Food Products","₹3315.1 Crs"
"1700801043-4232","https://www.etmoney.com/stocks/list-of-stocks","HMT Ltd.
                                            HMT","Industrial Machinery, Equipment & Goods","₹5659.23 Crs"
"1700801043-4233","https://www.etmoney.com/stocks/list-of-stocks","HOV Services Ltd.
                                            HOVS","Outsourced Services","₹70.53 Crs"
"1700801043-4234","https://www.etmoney.com/stocks/list-of-stocks","HP Adhesives Ltd.
                                            HPAL","Speciality Chemicals","₹891.18 Crs"
"1700801043-4235","https://www.etmoney.com/stocks/list-of-stocks","HPL Electric & Power Ltd.
                                            HPL","Electrical - Equipment/components","₹1350.31 Crs"
"1700801043-4236","https://www.etmoney.com/stocks/list-of-stocks","HT Media Ltd.
                                            HTMEDIA","Publishing","₹558.6 Crs"
"1700801043-4237","https://www.etmoney.com/stocks/list-of-stocks","Happiest Minds Technologies Ltd.
                                            HAPPSTMNDS","It Services & Consulting","₹12745.4 Crs"
"1700801043-4238","https://www.etmoney.com/stocks/list-of-stocks","Hardwyn India Ltd.
                                            HARDWYN","Trading & Distribution","₹1360.64 Crs"
"1700801043-4239","https://www.etmoney.com/stocks/list-of-stocks","Hariom Pipe Industries Ltd.
                                            HARIOMPIPE","Tubes & Pipes","₹1817.29 Crs"
"1700801043-4240","https://www.etmoney.com/stocks/list-of-stocks","Harrisons Malayalam Ltd.
                                            HARRMALAYA","Plantation & Plantation Products","₹271.29 Crs"
"1700801043-4241","https://www.etmoney.com/stocks/list-of-stocks","Harsha Engineers International Ltd.
                                            HARSHA","Consumer Electronics & Appliances","₹3568.93 Crs"
